timestamp,stage,taskId,durationMs,queueSize,workerId
1772826813188,PROCESS,49000ms,0,0,DefaultDispatcher-worker-18
1772826813296,DECODE,52000ms,667,0,DefaultDispatcher-worker-34
1772826813297,PROCESS,52000ms,0,0,DefaultDispatcher-worker-34
1772826813404,DECODE,53000ms,676,0,DefaultDispatcher-worker-14
1772826813404,PROCESS,53000ms,0,0,DefaultDispatcher-worker-14
1772826813517,DECODE,57000ms,692,0,DefaultDispatcher-worker-7
1772826813517,PROCESS,57000ms,0,0,DefaultDispatcher-worker-7
1772826813599,DECODE,58000ms,669,0,DefaultDispatcher-worker-9
1772826813599,PROCESS,58000ms,0,0,DefaultDispatcher-worker-9
1772826813691,DECODE,62000ms,628,0,DefaultDispatcher-worker-20
1772826813691,PROCESS,62000ms,0,0,DefaultDispatcher-worker-20
1772826813848,DECODE,65000ms,191,0,DefaultDispatcher-worker-14
1772826813849,PROCESS,65000ms,0,0,DefaultDispatcher-worker-14
1772826813907,DECODE,60000ms,739,0,DefaultDispatcher-worker-35
1772826813908,PROCESS,60000ms,0,0,DefaultDispatcher-worker-35
1772826814008,DECODE,43000ms,748,0,DefaultDispatcher-worker-4
1772826814008,PROCESS,43000ms,0,0,DefaultDispatcher-worker-4
1772826814088,DECODE,64000ms,727,0,DefaultDispatcher-worker-62
1772826814088,PROCESS,64000ms,0,0,DefaultDispatcher-worker-62
1772826814200,DECODE,45000ms,743,0,DefaultDispatcher-worker-34
1772826814200,PROCESS,45000ms,0,0,DefaultDispatcher-worker-34
1772826814290,DECODE,61000ms,717,0,DefaultDispatcher-worker-11
1772826814290,PROCESS,61000ms,0,0,DefaultDispatcher-worker-11
1772826814383,DECODE,56000ms,604,0,DefaultDispatcher-worker-9
1772826814384,PROCESS,56000ms,0,0,DefaultDispatcher-worker-9
1772826814488,DECODE,46000ms,587,0,DefaultDispatcher-worker-20
1772826814489,PROCESS,46000ms,0,0,DefaultDispatcher-worker-20
1772826814592,DECODE,67000ms,621,0,DefaultDispatcher-worker-14
1772826814592,PROCESS,67000ms,0,0,DefaultDispatcher-worker-14
1772826814721,DECODE,59000ms,660,0,DefaultDispatcher-worker-35
1772826814722,PROCESS,59000ms,0,0,DefaultDispatcher-worker-35
1772826814783,DECODE,66000ms,637,0,DefaultDispatcher-worker-4
1772826814784,PROCESS,66000ms,0,0,DefaultDispatcher-worker-4
1772826814899,DECODE,69000ms,636,0,DefaultDispatcher-worker-7
1772826814899,PROCESS,69000ms,0,0,DefaultDispatcher-worker-7
1772826814967,DECODE,35000ms,621,0,DefaultDispatcher-worker-34
1772826814967,PROCESS,35000ms,0,0,DefaultDispatcher-worker-34
1772826815085,DECODE,73000ms,649,0,DefaultDispatcher-worker-11
1772826815085,PROCESS,73000ms,0,0,DefaultDispatcher-worker-11
1772826815184,DECODE,90000ms,632,0,DefaultDispatcher-worker-62
1772826815185,PROCESS,90000ms,0,0,DefaultDispatcher-worker-62
1772826815258,DECODE,80000ms,614,0,DefaultDispatcher-worker-20
1772826815258,PROCESS,80000ms,0,0,DefaultDispatcher-worker-20
1772826815338,DECODE,72000ms,567,0,DefaultDispatcher-worker-14
1772826815339,PROCESS,72000ms,0,0,DefaultDispatcher-worker-14
1772826815440,DECODE,75000ms,603,0,DefaultDispatcher-worker-35
1772826815440,PROCESS,75000ms,0,0,DefaultDispatcher-worker-35
1772826815536,DECODE,63000ms,577,0,DefaultDispatcher-worker-7
1772826815536,PROCESS,63000ms,0,0,DefaultDispatcher-worker-7
1772826815643,DECODE,85000ms,616,0,DefaultDispatcher-worker-10
1772826815644,PROCESS,85000ms,0,0,DefaultDispatcher-worker-10
1772826815743,DECODE,68000ms,605,0,DefaultDispatcher-worker-34
1772826815743,PROCESS,68000ms,0,0,DefaultDispatcher-worker-34
1772826815829,DECODE,76000ms,583,0,DefaultDispatcher-worker-9
1772826815830,PROCESS,76000ms,0,0,DefaultDispatcher-worker-9
1772826815929,DECODE,78000ms,613,0,DefaultDispatcher-worker-62
1772826815929,PROCESS,78000ms,0,0,DefaultDispatcher-worker-62
1772826816044,DECODE,87000ms,642,0,DefaultDispatcher-worker-20
1772826816044,PROCESS,87000ms,0,0,DefaultDispatcher-worker-20
1772826816128,DECODE,86000ms,624,0,DefaultDispatcher-worker-14
1772826816129,PROCESS,86000ms,0,0,DefaultDispatcher-worker-14
1772826816244,DECODE,77000ms,645,0,DefaultDispatcher-worker-35
1772826816245,PROCESS,77000ms,0,0,DefaultDispatcher-worker-35
1772826816348,DECODE,55000ms,643,0,DefaultDispatcher-worker-7
1772826816348,PROCESS,55000ms,0,0,DefaultDispatcher-worker-7
1772826816436,DECODE,71000ms,634,0,DefaultDispatcher-worker-10
1772826816437,PROCESS,71000ms,0,0,DefaultDispatcher-worker-10
1772826816548,DECODE,54000ms,664,0,DefaultDispatcher-worker-34
1772826816549,PROCESS,54000ms,0,0,DefaultDispatcher-worker-34
1772826816653,DECODE,88000ms,647,0,DefaultDispatcher-worker-9
1772826816654,PROCESS,88000ms,0,0,DefaultDispatcher-worker-9
1772826816734,DECODE,84000ms,621,0,DefaultDispatcher-worker-62
1772826816735,PROCESS,84000ms,0,0,DefaultDispatcher-worker-62
1772826816836,DECODE,74000ms,637,0,DefaultDispatcher-worker-20
1772826816837,PROCESS,74000ms,0,0,DefaultDispatcher-worker-20
1772826816941,DECODE,81000ms,640,0,DefaultDispatcher-worker-11
1772826816941,PROCESS,81000ms,0,0,DefaultDispatcher-worker-11
1772826817034,DECODE,79000ms,624,0,DefaultDispatcher-worker-35
1772826817034,PROCESS,79000ms,0,0,DefaultDispatcher-worker-35
1772826817116,DECODE,70000ms,619,0,DefaultDispatcher-worker-14
1772826817117,PROCESS,70000ms,0,0,DefaultDispatcher-worker-14
1772826817218,DECODE,83000ms,608,0,DefaultDispatcher-worker-4
1772826817218,PROCESS,83000ms,0,0,DefaultDispatcher-worker-4
1772826817327,DECODE,89000ms,610,0,DefaultDispatcher-worker-7
1772826817328,PROCESS,89000ms,0,0,DefaultDispatcher-worker-7
1772826817422,DECODE,82000ms,618,0,DefaultDispatcher-worker-34
1772826817423,PROCESS,82000ms,0,0,DefaultDispatcher-worker-34
1772826817504,DECODE,37000ms,598,0,DefaultDispatcher-worker-62
1772826817505,PROCESS,37000ms,0,0,DefaultDispatcher-worker-62
1772826817619,DECODE,38000ms,615,0,DefaultDispatcher-worker-20
1772826817619,PROCESS,38000ms,0,0,DefaultDispatcher-worker-20
1772826817721,DECODE,44000ms,627,0,DefaultDispatcher-worker-11
1772826817722,PROCESS,44000ms,0,0,DefaultDispatcher-worker-11
1772826817823,DECODE,0ms,635,0,DefaultDispatcher-worker-9
1772826817824,PROCESS,0ms,0,0,DefaultDispatcher-worker-9
1772826817913,DECODE,2000ms,625,0,DefaultDispatcher-worker-35
1772826817914,PROCESS,2000ms,0,0,DefaultDispatcher-worker-35
1772826818013,DECODE,3000ms,618,0,DefaultDispatcher-worker-4
1772826818014,PROCESS,3000ms,0,0,DefaultDispatcher-worker-4
1772826818137,DECODE,4000ms,648,0,DefaultDispatcher-worker-14
1772826818138,PROCESS,4000ms,0,0,DefaultDispatcher-worker-14
1772826818235,DECODE,5000ms,658,0,DefaultDispatcher-worker-7
1772826818236,PROCESS,5000ms,0,0,DefaultDispatcher-worker-7
1772826818353,DECODE,10000ms,672,0,DefaultDispatcher-worker-34
